ROL	1	0	-1	60	01206	EI	C		0				Role Instance ID	Entity identifier	
ROL	4	15	-1	0		ID			0	0465				Coded values for HL7 tables	name representation code
ROL	5	-1	-1	26	01199	TS	O		0				Role Begin Date/Time	Time stamp	
ROL	6	-1	-1	26	01200	TS	O		0				Role End Date/Time	Time stamp	
ROL	7	0	-1	250	01201	CE	O		0				Role Duration	Coded element	
ROL	7	1	-1	0		ST			0					String	identifier
ROL	7	2	-1	0		ST			0					String	text
ROL	7	3	-1	0		IS			0	0396				Coded value for user-defined tables	name of coding system
ROL	7	4	-1	0		ST			0					String	alternate identifier
ROL	7	5	-1	0		ST			0					String	alternate text
ROL	7	6	-1	0		IS			0	0396				Coded value for user-defined tables	name of alternate coding system
ROL	8	0	-1	250	01205	CE	O		0				Role Action Reason	Coded element	
ROL	8	1	-1	0		ST			0					String	identifier
ROL	8	2	-1	0		ST			0					String	text
ROL	8	3	-1	0		IS			0	0396				Coded value for user-defined tables	name of coding system
ROL	8	4	-1	0		ST			0					String	alternate identifier
ROL	8	5	-1	0		ST			0					String	alternate text
ROL	8	6	-1	0		IS			0	0396				Coded value for user-defined tables	name of alternate coding system
ROL	9	0	-1	250	01510	CE	O	Y	0	0182			Provider Type	Coded element	
ROL	9	1	-1	0		ST			0					String	identifier
ROL	9	2	-1	0		ST			0					String	text
ROL	9	3	-1	0		IS			0	0182				Coded value for user-defined tables	name of coding system
ROL	9	4	-1	0		ST			0					String	alternate identifier
ROL	9	5	-1	0		ST			0					String	alternate text
ROL	9	6	-1	0		IS			0	0182				Coded value for user-defined tables	name of alternate coding system
ROL	10	0	-1	250	01461	CE	O		0	0406			Organization Unit Type - ROL	Coded element	
ROL	10	1	-1	0		ST			0					String	identifier
ROL	10	2	-1	0		ST			0					String	text
ROL	10	3	-1	0		IS			0	0406				Coded value for user-defined tables	name of coding system
ROL	10	4	-1	0		ST			0					String	alternate identifier
ROL	10	5	-1	0		ST			0					String	alternate text
ROL	10	6	-1	0		IS			0	0406				Coded value for user-defined tables	name of alternate coding system
ROL	11	0	-1	250	00679	XAD	O	Y	0				Office/Home Address	Extended address	
ROL	11	1	0	0		SAD			0					String	street address
ROL	11	1	1	0		ST			0					String	street or mailing address
ROL	11	1	2	0		ST			0					String	street name
ROL	11	1	3	0		ST			0					String	dwelling number
ROL	11	2	-1	0		ST			0					String	other designation
ROL	11	3	-1	0		ST			0					String	city
ROL	11	4	-1	0		ST			0					String	state or province
ROL	11	5	-1	0		ST			0					String	zip or postal code
ROL	11	6	-1	0		ID			0	0399				Coded values for HL7 tables	country
ROL	11	7	-1	0		ID			0	0190				Coded values for HL7 tables	address type
ROL	11	8	-1	0		ST			0					String	other geographic designation
ROL	11	9	-1	0		IS			0	0289				Coded value for user-defined tables	county/parish code
ROL	11	10	-1	0		IS			0	0288				Coded value for user-defined tables	census tract
ROL	11	11	-1	0		ID			0	0465				Coded values for HL7 tables	address representation code
ROL	11	12	0	0		DR			0					Time stamp	address validity range
ROL	11	12	1	0		TS			0					Time stamp	range start date/time
ROL	11	12	2	0		TS			0					Time stamp	range end date/time
ROL	12	0	-1	250	00678	XTN	O	Y	0				Phone	Extended telecommunications number	
ROL	12	1	-1	0		TN			0					Telephone number	
ROL	12	2	-1	0		ID			0	0201				Coded values for HL7 tables	telecommunication use code
ROL	12	3	-1	0		ID			0	0202				Coded values for HL7 tables	telecommunication equipment type
ROL	12	4	-1	0		ST			0					String	email address
ROL	12	5	-1	0		NM			0					Numeric	country code
ROL	12	6	-1	0		NM			0					Numeric	area/city code
ROL	12	7	-1	0		NM			0					Numeric	phone number
ROL	12	8	-1	0		NM			0					Numeric	extension
ROL	12	9	-1	0		ST			0					String	any text
