SCV	Time Series:	Scheduling class value pair	2.8.37	Y	Y	Scheduling Chapter Only:
SI	Numerical	Sequence ID	2.8.38	N	N	
SN	Numerical	Structured numeric	2.8.39	Y	Y	
SRT	Alphanumeric	Sort order		Y		
ST	Alphanumeric	String	2.8.40	N	N	
TM	Date/Time	Time	2.8.41	N	N	HH[MM[SS[.S[S[S[S]]]]]][+/-ZZZZ]
TN	Demographics	Telephone number	2.8.42	N	N	[NN] [(999)]999-9999[X99999][B99999][C any text]
TQ	Time Series:	Timing/quantity	2.8.43	Y	Y	For timing/quantity specifications for orders, see Chapter 4, Section 4.4.
TS	Date/Time	Time stamp	2.8.44	N	N	YYYY[MM[DD[HHMM[SS[.S[S[S[S]]]]]]]][+/-ZZZZ] ^
TX	Alphanumeric	Text data	2.8.45	N	N	
VH	Master Files	Visiting hours	2.8.46	Y	Y	
VID	Identifier	Version identifier	2.8.47	Y	Y	
VRY	User Defined Data Type	Varis		N	N	Various Data Type
XAD	Demographics	Extended address	2.8.48	Y	Y	In Version 2.3, replaces the AD data type.
XCN	Code Values	Extended composite ID number and name	2.8.49	Y	Y	In Version 2.3, use instead of the CN data type.
XON	Demographics	Extended composite name and ID number for organizations	2.8.50	Y	Y	
XPN	Demographics	Extended person name	2.8.51	Y	Y	In Version 2.3, replaces the PN data type.
XTN	Demographics	Extended telecommunications number	2.8.52	Y	Y	In Version 2.3, replaces the TN data type.  [NNN] [(999)]999-9999 [X99999] [B999
ZC01	User Defined Data Type	User Define : composit		Y		
ZC02	User Defined Data Type	User Define : composit		Y		
ZC03	User Defined Data Type	User Define : composit		Y		
ZC04	User Defined Data Type	User Define : composit		Y		
ZC05	User Defined Data Type	User Define : composit		Y		
ZC06	User Defined Data Type	User Define : composit		Y		
ZC07	User Defined Data Type	User Define : composit		Y		
ZC08	User Defined Data Type	User Define : composit		Y		
ZC09	User Defined Data Type	User Define : composit		Y		
ZC10	User Defined Data Type	User Define : composit		Y		
ZC11	User Defined Data Type	User Define : composit		Y		
ZC12	User Defined Data Type	User Define : composit		Y		
ZC13	User Defined Data Type	User Define : composit		Y		
ZC14	User Defined Data Type	User Define : composit		Y		
ZC15	User Defined Data Type	User Define : composit		Y		
ZC16	User Defined Data Type	User Define : composit		Y		
ZC17	User Defined Data Type	User Define : composit		Y		
ZC18	User Defined Data Type	User Define : composit		Y		
ZC19	User Defined Data Type	User Define : composit		Y		
ZC20	User Defined Data Type	User Define : composit		Y		
ZC21	User Defined Data Type	User Define : composit		Y		
ZC22	User Defined Data Type	User Define : composit		Y		
ZC23	User Defined Data Type	User Define : composit		Y		
ZC24	User Defined Data Type	User Define : composit		Y		
ZC25	User Defined Data Type	User Define : composit		Y		
ZC26	User Defined Data Type	User Define : composit		Y		
ZC27	User Defined Data Type	User Define : composit		Y		
ZC28	User Defined Data Type	User Define : composit		Y		
ZC29	User Defined Data Type	User Define : composit		Y		
ZC30	User Defined Data Type	User Define : composit		Y		
ZC31	User Defined Data Type	User Define : composit		Y		
ZC32	User Defined Data Type	User Define : composit		Y		
ZC33	User Defined Data Type	User Define : channel identifier (CD datatype)		Y		
ZC34	User Defined Data Type	User Define : waveform source (CD datatype)		Y		
ZC35	User Defined Data Type	User Define : channel sensitivity/units (CD datatype)		Y		
ZC36	User Defined Data Type	User Define : channel calibration parameters (CD datatype)		Y		
ZC37	User Defined Data Type	User Define : minimum/maximum data value (CD datatype)		Y		
ZCE1	User Defined Data Type	User Define : Error code		Y		
ZCE2	User Defined Data Type	User Define : Administrative site code(OBR-15-1st)		Y		
ZCE3	User Defined Data Type	User Define : Specimen Source code(OBR-15-2nd)		Y		
ZCE4	User Defined Data Type	User Define : Occurrence code(UB2-7)		Y		
ZCE5	User Defined Data Type	User Define : Occorrence span code(UB2-8)		Y		
ZCE6	User Defined Data Type	User Define : coded element for name context (PPN data type)		Y		
ZCE7	User Defined Data Type	User Define : coded element for country code (VID data type)		Y		
ZCE8	User Defined Data Type	User Define : coded element for specimen role (00249)		Y		
ZCM1	User Defined Data Type	User Define : Interval component		Y	Y	User defined data type to 2nd component (CM data type) of TQ data type
ZCM2	User Defined Data Type	User Define : Order sequencing component		Y	Y	User defined data type to 10th component (CM data type) of TQ data type
ZCM3	User Defined Data Type	User Define : Range		Y	Y	Low and High value
ZEI1	User Defined Data Type	User Define : Entity Identifier and Namespaces ID		Y	Y	User defined to 2nd and 3rd subcomponent(first 2 of EI type)  of ZCM2 data type
ZEI2	User Defined Data Type	Universal ID and Unversal ID type		Y	Y	User defined to 8th and 9th subcomponent(last 2 of EI type)  of ZCM2 data type
ZHD1	User Defined Data Type	User Define : Hierarchic designator (for CK datatype)		Y		
