NK1	1	-1	-1	4	00190	SI	R		0				Set ID - NK1	Sequence ID	
NK1	27	1	-1	0		ST			0					String	identifier
NK1	27	2	-1	0		ST			0					String	text
NK1	27	3	-1	0		IS			0	0212				Coded value for user-defined tables	name of coding system
NK1	27	4	-1	0		ST			0					String	alternate identifier
NK1	27	5	-1	0		ST			0					String	alternate text
NK1	27	6	-1	0		IS			0	0212				Coded value for user-defined tables	name of alternate coding system
NK1	28	0	-1	250	00125	CE	O	Y	0	0189			Ethnic Group	Coded element	
NK1	28	1	-1	0		ST			0					String	identifier
NK1	28	2	-1	0		ST			0					String	text
NK1	28	3	-1	0		IS			0	0189				Coded value for user-defined tables	name of coding system
NK1	28	4	-1	0		ST			0					String	alternate identifier
NK1	28	5	-1	0		ST			0					String	alternate text
NK1	28	6	-1	0		IS			0	0189				Coded value for user-defined tables	name of alternate coding system
NK1	29	0	-1	250	00747	CE	O	Y	0	0222			Contact Reason	Coded element	
NK1	29	1	-1	0		ST			0					String	identifier
NK1	29	2	-1	0		ST			0					String	text
NK1	29	3	-1	0		IS			0	0222				Coded value for user-defined tables	name of coding system
NK1	29	4	-1	0		ST			0					String	alternate identifier
NK1	29	5	-1	0		ST			0					String	alternate text
NK1	29	6	-1	0		IS			0	0222				Coded value for user-defined tables	name of alternate coding system
NK1	30	0	-1	250	00748	XPN	O	Y	0				Contact Person`s Name	Extended person name	
NK1	30	1	0	0		FN			0					String	family name
NK1	30	1	1	0		ST			0					String	surname
NK1	30	1	2	0		ST			0					String	own surname prefix
NK1	30	1	3	0		ST			0					String	own surname
NK1	30	1	4	0		ST			0					String	surname prefix from partner/spouse
NK1	30	1	5	0		ST			0					String	surname from partner/spouse
NK1	30	2	-1	0		ST			0					String	given name
NK1	30	3	-1	0		ST			0					String	second and further given names or initial thereof
NK1	30	4	-1	0		ST			0					String	suffix (e.g., JR or III)
NK1	30	5	-1	0		ST			0					String	prefix (e.g., DR)
NK1	30	6	-1	0		IS			0	0360				Coded value for user-defined tables	degree (e.g., MD)
NK1	30	7	-1	0		ID			0	0200				Coded values for HL7 tables	name type code
NK1	30	8	-1	0		ID			0	0465				Coded values for HL7 tables	name representation code
NK1	30	9	0	0		ZCE6			0					Coded values for HL7 tables	name context
NK1	30	9	1	0		ID			0	0448				Coded values for HL7 tables	identifier
NK1	30	9	2	0		ST			0					String	text
NK1	30	9	3	0		ST			0					String	name of coding system
NK1	30	9	4	0		ID			0	0448				Coded values for HL7 tables	alternate identifier
NK1	30	9	5	0		ST			0					String	alternate text
NK1	30	9	6	0		ST			0					String	name of alternate coding system
NK1	30	10	0	0		DR			0					Time stamp	name validity range
NK1	30	10	1	0		TS			0					Time stamp	range start date/time
NK1	30	10	2	0		TS			0					Time stamp	range end date/time
NK1	30	11	-1	0		ID			0	0444				Coded values for HL7 tables	name assembly order
NK1	31	0	-1	250	00749	XTN	O	Y	0				Contact Person`s Telephone Number	Extended telecommunications number	
NK1	31	1	-1	0		TN			0					Telephone number	
NK1	31	2	-1	0		ID			0	0201				Coded values for HL7 tables	telecommunication use code
NK1	31	3	-1	0		ID			0	0202				Coded values for HL7 tables	telecommunication equipment type
NK1	31	4	-1	0		ST			0					String	email address
NK1	31	5	-1	0		NM			0					Numeric	country code
NK1	31	6	-1	0		NM			0					Numeric	area/city code
NK1	31	7	-1	0		NM			0					Numeric	phone number
NK1	31	8	-1	0		NM			0					Numeric	extension
NK1	31	9	-1	0		ST			0					String	any text
NK1	32	0	-1	250	00750	XAD	O	Y	0				Contact Person`s Address	Extended address	
NK1	32	1	0	0		SAD			0					String	street address
NK1	32	1	1	0		ST			0					String	street or mailing address
NK1	32	1	2	0		ST			0					String	street name
NK1	32	1	3	0		ST			0					String	dwelling number
NK1	32	2	-1	0		ST			0					String	other designation
NK1	32	3	-1	0		ST			0					String	city
NK1	32	4	-1	0		ST			0					String	state or province
NK1	32	5	-1	0		ST			0					String	zip or postal code
NK1	32	6	-1	0		ID			0	0399				Coded values for HL7 tables	country
NK1	32	7	-1	0		ID			0	0190				Coded values for HL7 tables	address type
NK1	32	8	-1	0		ST			0					String	other geographic designation
NK1	32	9	-1	0		IS			0	0289				Coded value for user-defined tables	county/parish code
NK1	32	10	-1	0		IS			0	0288				Coded value for user-defined tables	census tract
NK1	32	11	-1	0		ID			0	0465				Coded values for HL7 tables	address representation code
NK1	32	12	0	0		DR			0					Time stamp	address validity range
NK1	32	12	1	0		TS			0					Time stamp	range start date/time
NK1	32	12	2	0		TS			0					Time stamp	range end date/time
NK1	33	0	-1	250	00751	CX	O	Y	0				Next of Kin/Associated Party`s Identifiers	Extended composite ID with check digit	
NK1	33	1	-1	0		ST			0					String	ID
NK1	33	2	-1	0		ST			0					String	check digit
NK1	33	3	-1	0		ID			0	0061				Coded values for HL7 tables	code identifying the check digit scheme employed
NK1	33	4	0	0		ZHD1			0					Coded value for user-defined tables	assigning authority
NK1	33	4	1	0		IS			0	0363				Coded value for user-defined tables	namespace ID
NK1	33	4	2	0		ST			0					String	universal ID
NK1	33	4	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
NK1	33	5	-1	0		ID			0	0203				Coded values for HL7 tables	identifier type code
NK1	33	6	0	0		HD			0					Coded value for user-defined tables	assigning facility
NK1	33	6	1	0		IS			0	0300				Coded value for user-defined tables	namespace ID
NK1	33	6	2	0		ST			0					String	universal ID
NK1	33	6	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
NK1	33	7	-1	0		DT			0					Date	effective date
NK1	33	8	-1	0		DT			0					Date	expiration date
NK1	34	-1	-1	2	00752	IS	O		0	0311			Job Status	Coded value for user-defined tables	
NK1	35	0	-1	250	00113	CE	O	Y	0	0005			Race	Coded element	
NK1	35	1	-1	0		ST			0					String	identifier
NK1	35	2	-1	0		ST			0					String	text
NK1	35	3	-1	0		IS			0	0005				Coded value for user-defined tables	name of coding system
NK1	35	4	-1	0		ST			0					String	alternate identifier
NK1	35	5	-1	0		ST			0					String	alternate text
NK1	35	6	-1	0		IS			0	0005				Coded value for user-defined tables	name of alternate coding system
NK1	36	-1	-1	2	00753	IS	O		0	0295			Handicap	Coded value for user-defined tables	
NK1	37	-1	-1	16	00754	ST	O		0				Contact Person Social Security Number	String	
