IN3	1	-1	-1	4	00502	SI	R		0				Set ID - IN3	Sequence ID	
IN3	8	1	-1	0		ST			0					String	ID number
IN3	8	2	0	0		FN			0					String	family name
IN3	8	2	1	0		ST			0					String	surname
IN3	8	2	2	0		ST			0					String	own surname prefix
IN3	8	2	3	0		ST			0					String	own surname
IN3	8	2	4	0		ST			0					String	surname prefix from partner/spouse
IN3	8	2	5	0		ST			0					String	surname from partner/spouse
IN3	8	3	-1	0		ST			0					String	given name
IN3	8	4	-1	0		ST			0					String	second and further given names or initial thereof
IN3	8	5	-1	0		ST			0					String	suffix (e.g., JR or III)
IN3	8	6	-1	0		ST			0					String	prefix (e.g., DR)
IN3	8	7	-1	0		IS			0	0360				Coded value for user-defined tables	degree (e.g., MD)
IN3	8	8	-1	0		IS			0	0297				Coded value for user-defined tables	source table
IN3	8	9	0	0		ZHD1			0					Coded value for user-defined tables	assigning authority
IN3	8	9	1	0		IS			0	0363				Coded value for user-defined tables	namespace ID
IN3	8	9	2	0		ST			0					String	universal ID
IN3	8	9	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
IN3	8	10	-1	0		ID			0	0200				Coded values for HL7 tables	name type code
IN3	8	11	-1	0		ST			0					String	identifier check digit
IN3	8	12	-1	0		ID			0	0061				Coded values for HL7 tables	code identifying the check digit scheme employed
IN3	8	13	-1	0		IS			0	0203				Coded value for user-defined tables	identifier type code
IN3	8	14	0	0		HD			0					Coded value for user-defined tables	assigning facility
IN3	8	14	1	0		IS			0	0300				Coded value for user-defined tables	namespace ID
IN3	8	14	2	0		ST			0					String	universal ID
IN3	8	14	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
IN3	8	15	-1	0		ID			0	0465				Coded values for HL7 tables	name representation code
IN3	9	-1	-1	8	00510	DT	O		0				Certification Begin Date	Date	
IN3	10	-1	-1	8	00511	DT	O		0				Certification End Date	Date	
IN3	11	0	-1	3	00512	ZC09	O		0	0149			Days	User Define : composit	
IN3	11	1	-1	0		IS			0	0149				Coded value for user-defined tables	day type
IN3	11	2	-1	0		NM			0					Numeric	number of days
IN3	12	0	-1	250	00513	CE	O		0	0233			Non-Concur Code/Description	Coded element	
IN3	12	1	-1	0		ST			0					String	identifier
IN3	12	2	-1	0		ST			0					String	text
IN3	12	3	-1	0		IS			0	0233				Coded value for user-defined tables	name of coding system
IN3	12	4	-1	0		ST			0					String	alternate identifier
IN3	12	5	-1	0		ST			0					String	alternate text
IN3	12	6	-1	0		IS			0	0233				Coded value for user-defined tables	name of alternate coding system
IN3	13	-1	-1	26	00514	TS	O		0				Non-Concur Effective Date/Time	Time stamp	
IN3	14	0	-1	250	00515	XCN	O	Y	0	0010			Physician Reviewer	Extended composite ID number and name	
IN3	14	1	-1	0		ST			0					String	ID number
IN3	14	2	0	0		FN			0					String	family name
IN3	14	2	1	0		ST			0					String	surname
IN3	14	2	2	0		ST			0					String	own surname prefix
IN3	14	2	3	0		ST			0					String	own surname
IN3	14	2	4	0		ST			0					String	surname prefix from partner/spouse
IN3	14	2	5	0		ST			0					String	surname from partner/spouse
IN3	14	3	-1	0		ST			0					String	given name
IN3	14	4	-1	0		ST			0					String	second and further given names or initial thereof
IN3	14	5	-1	0		ST			0					String	suffix (e.g., JR or III)
IN3	14	6	-1	0		ST			0					String	prefix (e.g., DR)
IN3	14	7	-1	0		IS			0	0360				Coded value for user-defined tables	degree (e.g., MD)
IN3	14	8	-1	0		IS			0	0297				Coded value for user-defined tables	source table
IN3	14	9	0	0		ZHD1			0					Coded value for user-defined tables	assigning authority
IN3	14	9	1	0		IS			0	0363				Coded value for user-defined tables	namespace ID
IN3	14	9	2	0		ST			0					String	universal ID
IN3	14	9	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
IN3	14	10	-1	0		ID			0	0200				Coded values for HL7 tables	name type code
IN3	14	11	-1	0		ST			0					String	identifier check digit
IN3	14	12	-1	0		ID			0	0061				Coded values for HL7 tables	code identifying the check digit scheme employed
IN3	14	13	-1	0		IS			0	0203				Coded value for user-defined tables	identifier type code
IN3	14	14	0	0		HD			0					Coded value for user-defined tables	assigning facility
IN3	14	14	1	0		IS			0	0300				Coded value for user-defined tables	namespace ID
IN3	14	14	2	0		ST			0					String	universal ID
IN3	14	14	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
IN3	14	15	-1	0		ID			0	0465				Coded values for HL7 tables	name representation code
IN3	15	-1	-1	48	00516	ST	O		0				Certification Contact	String	
IN3	16	0	-1	250	00517	XTN	O	Y	0				Certification Contact Phone Number	Extended telecommunications number	
IN3	16	1	-1	0		TN			0					Telephone number	
IN3	16	2	-1	0		ID			0	0201				Coded values for HL7 tables	telecommunication use code
IN3	16	3	-1	0		ID			0	0202				Coded values for HL7 tables	telecommunication equipment type
IN3	16	4	-1	0		ST			0					String	email address
IN3	16	5	-1	0		NM			0					Numeric	country code
IN3	16	6	-1	0		NM			0					Numeric	area/city code
IN3	16	7	-1	0		NM			0					Numeric	phone number
IN3	16	8	-1	0		NM			0					Numeric	extension
IN3	16	9	-1	0		ST			0					String	any text
IN3	17	0	-1	250	00518	CE	O		0	0345			Appeal Reason	Coded element	
IN3	17	1	-1	0		ST			0					String	identifier
IN3	17	2	-1	0		ST			0					String	text
IN3	17	3	-1	0		IS			0	0345				Coded value for user-defined tables	name of coding system
IN3	17	4	-1	0		ST			0					String	alternate identifier
IN3	17	5	-1	0		ST			0					String	alternate text
IN3	17	6	-1	0		IS			0	0345				Coded value for user-defined tables	name of alternate coding system
IN3	18	0	-1	250	00519	CE	O		0	0346			Certification Agency	Coded element	
IN3	18	1	-1	0		ST			0					String	identifier
IN3	18	2	-1	0		ST			0					String	text
IN3	18	3	-1	0		IS			0	0346				Coded value for user-defined tables	name of coding system
IN3	18	4	-1	0		ST			0					String	alternate identifier
IN3	18	5	-1	0		ST			0					String	alternate text
IN3	18	6	-1	0		IS			0	0346				Coded value for user-defined tables	name of alternate coding system
IN3	19	0	-1	250	00520	XTN	O	Y	0				Certification Agency Phone Number	Extended telecommunications number	
IN3	19	1	-1	0		TN			0					Telephone number	
IN3	19	2	-1	0		ID			0	0201				Coded values for HL7 tables	telecommunication use code
IN3	19	3	-1	0		ID			0	0202				Coded values for HL7 tables	telecommunication equipment type
IN3	19	4	-1	0		ST			0					String	email address
IN3	19	5	-1	0		NM			0					Numeric	country code
IN3	19	6	-1	0		NM			0					Numeric	area/city code
IN3	19	7	-1	0		NM			0					Numeric	phone number
IN3	19	8	-1	0		NM			0					Numeric	extension
IN3	19	9	-1	0		ST			0					String	any text
IN3	20	0	-1	40	00521	ZC10	O	Y	0	0150	0136		Pre-Certification Req/Window	User Define : composit	
IN3	20	1	-1	0		IS			0	0150				Coded value for user-defined tables	pre-certification patient type
IN3	20	2	-1	0		ID			0	0136				Coded values for HL7 tables	pre-certification required
IN3	20	3	-1	0		TS			0					Time stamp	pre-certification window
IN3	21	-1	-1	48	00522	ST	O		0				Case Manager	String	
IN3	22	-1	-1	8	00523	DT	O		0				Second Opinion Date	Date	
IN3	23	-1	-1	1	00524	IS	O		0	0151			Second Opinion Status	Coded value for user-defined tables	
IN3	24	-1	-1	1	00525	IS	O	Y	0	0152			Second Opinion Documentation Received	Coded value for user-defined tables	
IN3	25	0	-1	250	00526	XCN	O	Y	0	0010			Second Opinion Physician	Extended composite ID number and name	
IN3	25	1	-1	0		ST			0					String	ID number
IN3	25	2	0	0		FN			0					String	family name
IN3	25	2	1	0		ST			0					String	surname
IN3	25	2	2	0		ST			0					String	own surname prefix
IN3	25	2	3	0		ST			0					String	own surname
IN3	25	2	4	0		ST			0					String	surname prefix from partner/spouse
IN3	25	2	5	0		ST			0					String	surname from partner/spouse
IN3	25	3	-1	0		ST			0					String	given name
IN3	25	4	-1	0		ST			0					String	second and further given names or initial thereof
IN3	25	5	-1	0		ST			0					String	suffix (e.g., JR or III)
IN3	25	6	-1	0		ST			0					String	prefix (e.g., DR)
IN3	25	7	-1	0		IS			0	0360				Coded value for user-defined tables	degree (e.g., MD)
IN3	25	8	-1	0		IS			0	0297				Coded value for user-defined tables	source table
IN3	25	9	0	0		ZHD1			0					Coded value for user-defined tables	assigning authority
IN3	25	9	1	0		IS			0	0363				Coded value for user-defined tables	namespace ID
IN3	25	9	2	0		ST			0					String	universal ID
IN3	25	9	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
IN3	25	10	-1	0		ID			0	0200				Coded values for HL7 tables	name type code
IN3	25	11	-1	0		ST			0					String	identifier check digit
IN3	25	12	-1	0		ID			0	0061				Coded values for HL7 tables	code identifying the check digit scheme employed
IN3	25	13	-1	0		IS			0	0203				Coded value for user-defined tables	identifier type code
IN3	25	14	0	0		HD			0					Coded value for user-defined tables	assigning facility
IN3	25	14	1	0		IS			0	0300				Coded value for user-defined tables	namespace ID
IN3	25	14	2	0		ST			0					String	universal ID
IN3	25	14	3	0		ID			0	0301				Coded values for HL7 tables	universal ID type
IN3	25	15	-1	0		ID			0	0465				Coded values for HL7 tables	name representation code
